File.Name,Source.Short,Table,Group.Type,Taxon,Species,N,Full.Citation
Fairbanks1994-5.csv,Fairbanks1994,Tb5,Natural,Ungulate,Antilocapra americana,10,"Fairbanks, W. S. 1994 Dominance, age and aggression among female pronghorn, Antilocapra americana (Family: Antilocapridae). Ethology 97, 278–293."
Fairbanks1994-6.csv,Fairbanks1994,Tb6,Natural,Ungulate,Antilocapra americana,11,"Fairbanks, W. S. 1994 Dominance, age and aggression among female pronghorn, Antilocapra americana (Family: Antilocapridae). Ethology 97, 278–293."
Fairbanks1994-7.csv,Fairbanks1994,Tb7,Natural,Ungulate,Antilocapra americana,17,"Fairbanks, W. S. 1994 Dominance, age and aggression among female pronghorn, Antilocapra americana (Family: Antilocapridae). Ethology 97, 278–293."
Farentinos1972-D.csv,Farentinos1972,Tb1D,Natural,Rodent,Sciurus aberti,11,"Farentinos, R. C. 1972 Social dominance and mating activity in the tassel-eared squirrel (Sciurus aberti ferreus). Anim. Behav. 20, 316–326."
Fournier1995-3.csv,Fournier1995,Fig3,Natural,Ungulate,Oreamnos americanus,30,"Fournier, F. & Festa-Bianchet, M. 1995 Social dominance in adult female mountain goats. Anim. Behav. 49, 1449–1459."
Frank1986-1.csv,Frank1986,Tb1,Natural,Carnivore,Crocuta crocuta,25,"Frank, L. G. 1986 Social organization of the spotted hyaena Crocuta crocuta. II. Dominance and reproduction. Anim. Behav. 34, 1510–1527."
Hartzler1970-1.csv,Hartzler1970,Tb1,Natural,Bird,Parus atricapillus,7,"Hartzler, J. E. 1970 Winter dominance relationship in black-capped chickadees. Wilson Bull. 82, 427–434."
Hass1991-2.csv,Hass1991,Tb2,Captive,Ungulate,Ovis canadensis,18,"Hass, C. C. & Jenni, D. A. 1991 Structure and ontogeny of dominance relationships among bighorn rams. Can. J. Zool. 69, 471–476."
Hausfater1975-10.csv,Hausfater1975,Tb10,Natural,Primate,Papio cynocephalus,16,"Hausfater, G. 1975 Dominance and reproduction in Baboons (Papio cynocephalus). Contrib. Primatol. 7, 20–68."
Hausfater1975-11.csv,Hausfater1975,Tb11,Natural,Primate,Papio cynocephalus,21,"Hausfater, G. 1975 Dominance and reproduction in Baboons (Papio cynocephalus). Contrib. Primatol. 7, 20–68."
Hausfater1975-6.csv,Hausfater1975,Tb6,Natural,Primate,Papio cynocephalus,17,"Hausfater, G. 1975 Dominance and reproduction in Baboons (Papio cynocephalus). Contrib. Primatol. 7, 20–68."
Hausfater1982-1.csv,Hausfater1982,Tb1,Natural,Primate,Papio cynocephalus,14,"Hausfater, G., Altmann, J. & Altmann, S. 1982 Long-term consistency of dominance relations among female baboons (Papio cynocephalus). Science 217, 752–755."
Hausfater1982-2.csv,Hausfater1982,Tb2,Natural,Primate,Papio cynocephalus,20,"Hausfater, G., Altmann, J. & Altmann, S. 1982 Long-term consistency of dominance relations among female baboons (Papio cynocephalus). Science 217, 752–755."
Heitor2006-3.csv,Heitor2006,Tb3,Captive,Ungulate,Equus caballus,11,"Heitor, F., do Mar Oom, M. & Vicente, L. 2006 Social relationships in a herd of Sorraia horses Part I. Correlates of social dominance and contexts of aggression. Behav. Process 73, 170–177."
Heitor2010-2.csv,Heitor2010,Tb2,Captive,Ungulate,Equus caballus,6,"Heitor, F. & Vicente, L. 2010 Dominance relationships and patterns of aggression in a bachelor group of Sorraia horses (Equus caballus). J. Ethol. 28, 35–44."
Hewitt2009-P2005.csv,Hewitt2009,FigA1-P2005,Natural,Carnivore,Meles meles,9,"Hewitt, S. E., Macdonald, D. W. & Dugdale, H. L. 2009 Context-dependent linear dominance hierarchies in social groups of European badgers, Meles meles. Anim. Behav. 77, 161–169."
Hewitt2009-PO2004.csv,Hewitt2009,FigA1-PO2004,Natural,Carnivore,Meles meles,7,"Hewitt, S. E., Macdonald, D. W. & Dugdale, H. L. 2009 Context-dependent linear dominance hierarchies in social groups of European badgers, Meles meles. Anim. Behav. 77, 161–169."
Hewitt2009-SH1995.csv,Hewitt2009,FigA1-SH1995,Natural,Carnivore,Meles meles,14,"Hewitt, S. E., Macdonald, D. W. & Dugdale, H. L. 2009 Context-dependent linear dominance hierarchies in social groups of European badgers, Meles meles. Anim. Behav. 77, 161–169."
Hirotani1994-1.csv,Hirotani1994,Tb1,Natural,Ungulate,Rangifer tarandus,13,"Hirotani, A. 1994 Dominance rank, copulatory behaviour and estimated reproductive success in male reindeer. Anim. Behav. 48, 929–936."
